tag,release_datetime
v1.1.0-beta,2024-04-18T14:57:36
v1.1.0-beta,2024-04-18T15:06:06
v1.1.1-beta,2024-04-23T09:55:15
v1.1.1-beta,2024-04-23T10:12:49
v1.1.2-beta,2024-04-30T14:39:55
v1.1.3-beta,2024-05-07T15:32:49
v1.1.4-beta,2024-05-14T09:10:02
v1.1.5-beta,2024-05-17T09:38:34
v1.1.6-beta,2024-05-21T09:33:58
v1.1.7-beta,2024-05-23T10:05:21
v1.1.8-beta,2024-06-04T13:24:11
v1.2.0-beta,2024-06-06T14:39:20
v1.2.1-beta,2024-06-11T15:56:03
v1.2.2-beta,2024-06-13T09:14:36
v1.2.3-beta,2024-06-20T13:12:53
v1.2.4-beta,2024-06-27T09:20:28
v1.2.5-beta,2024-07-04T12:17:30
v1.2.6-beta,2024-07-11T11:53:08
v1.3.0-beta,2024-07-18T09:30:25
v1.3.1-beta,2024-07-19T15:28:27
v1.3.2-beta,2024-07-25T09:24:30
v1.3.3-beta,2024-08-01T10:13:10
v1.3.4-beta,2024-08-08T09:39:55
v1.3.5-beta,2024-08-15T11:15:13
v1.4.0-beta,2024-08-21T11:12:44
v1.4.1-beta,2024-08-29T10:50:53
v1.4.2-beta,2024-09-06T10:51:48
v1.4.3-beta,2024-09-12T12:06:16
v1.5.2-beta,2024-09-24T12:25:55
v1.5.4-beta,2024-09-25T13:37:34
v1.5.5-beta,2024-10-03T10:16:02
v1.6.0-beta,2024-10-10T09:33:29
v1.6.1-beta,2024-10-17T09:33:33
v1.7.0-beta,2024-10-24T10:12:44
v1.7.1-beta,2024-10-31T10:47:56
v1.7.2-beta,2024-11-07T14:55:51
v1.7.3-beta,2024-11-15T11:53:43
v1.7.5-beta,2024-11-22T09:54:40
v1.7.6-beta,2024-11-28T10:59:00
v1.7.7-beta,2024-12-05T13:06:49
v1.7.8-beta,2025-01-08T19:28:06
v1.7.9-beta,2025-01-16T09:55:29
v1.7.10-beta,2025-01-24T13:56:44
v1.7.11-beta,2025-02-07T11:36:35
v1.7.12-beta,2025-02-13T10:02:11
v1.7.13-beta,2025-02-27T09:36:57
v1.7.14-beta,2025-03-06T09:10:20
v1.7.15-beta,2025-03-13T09:21:20
