tag,release_datetime
v1.1.2-beta,2024-05-02T09:22:28
v1.1.7-beta,2024-05-29T09:09:26
v1.2.0-beta,2024-06-11T09:08:13
v1.2.2-beta,2024-06-18T09:09:17
v1.2.3-beta,2024-06-25T09:34:14
v1.2.4-beta,2024-07-02T09:12:15
v1.2.5-beta,2024-07-09T09:15:24
v1.2.6-beta,2024-07-16T09:44:21
v1.3.0-beta,2024-07-23T09:11:47
v1.3.2-beta,2024-07-30T09:36:08
v1.3.3-beta,2024-08-06T09:12:45
v1.3.4-beta,2024-08-13T09:12:48
v1.3.5-beta,2024-08-20T09:49:28
v1.4.0-beta,2024-08-28T09:02:51
v1.4.1-beta,2024-09-03T09:32:58
v1.4.2-beta,2024-09-10T09:22:06
