tag,release_datetime
v1.1.0-beta,2024-04-18T14:58:56
v1.1.1-beta,2024-04-23T10:00:32
v1.1.2-beta,2024-04-30T14:29:56
v1.1.4-beta,2024-05-14T08:53:16
v1.1.6-beta,2024-05-21T09:22:06
v1.1.7-beta,2024-05-23T09:08:49
v1.1.8-beta,2024-06-04T13:16:51
v1.2.0-beta,2024-06-06T14:31:56
v1.2.1-beta,2024-06-11T15:48:48
v1.2.3-beta,2024-06-20T13:04:49
v1.2.4-beta,2024-06-27T09:11:48
PR-454,2024-07-01T08:48:07
PR-454,2024-07-01T10:30:06
PR-454,2024-07-01T10:43:21
PR-454,2024-07-01T11:19:32
PR-454,2024-07-01T13:35:31
PR-454,2024-07-01T15:27:10
PR-454,2024-07-02T09:20:36
v1.2.5-beta,2024-07-04T12:09:14
v1.2.6-beta,2024-07-11T10:59:17
v1.3.0-beta,2024-07-18T09:14:15
v1.3.1-beta,2024-07-19T15:21:20
v1.3.2-beta,2024-07-25T09:02:47
v1.3.3-beta,2024-08-01T10:05:24
v1.3.4-beta,2024-08-08T09:32:43
v1.4.0-beta,2024-08-27T10:26:56
v1.4.1-beta,2024-08-29T09:25:13
v1.4.2-beta,2024-09-06T10:42:05
v1.4.3-beta,2024-09-12T10:35:50
v1.5.3-beta,2024-09-25T12:04:58
v1.5.4-beta,2024-09-25T13:27:49
v1.5.5-beta,2024-10-03T10:06:33
v1.6.0-beta,2024-10-10T09:15:21
v1.7.0-beta,2024-10-24T10:00:23
v1.7.1-beta,2024-10-31T10:38:46
v1.7.2-beta,2024-11-07T14:43:23
v1.7.3-beta,2024-11-19T10:32:41
v1.7.5-beta,2024-11-21T14:06:19
v1.7.6-beta,2024-11-28T10:49:17
v1.7.7-beta,2024-12-05T12:48:37
v1.7.8-beta,2025-01-08T19:06:52
v1.7.9-beta,2025-01-16T09:38:00
v1.7.10-beta,2025-01-24T12:57:42
v1.7.11-beta,2025-02-07T10:35:21
v1.7.12-beta,2025-02-13T09:46:17
v1.7.13-beta,2025-02-27T09:27:13
v1.7.14-beta,2025-03-06T09:00:36
v1.7.15-beta,2025-03-13T09:11:02
v1.7.16-beta,2025-03-20T09:05:59
v1.7.17-beta,2025-03-27T11:50:07
v1.7.18-beta,2025-04-03T09:59:14
v1.7.19-beta,2025-04-14T11:32:09
v1.7.20-beta,2025-04-24T10:46:06
v1.8.0-beta,2025-05-08T14:35:28
v1.9.0-beta,2025-05-13T11:04:41
v1.9.1-beta,2025-05-15T15:39:59
v1.9.2-beta,2025-05-29T11:59:57
v1.10.0-beta,2025-06-09T11:37:19
