date,pharmacyODSCode,ready_to_collect_psu_count,00_01_notification_count,01_02_notification_count,02_03_notification_count,03_04_notification_count,04_05_notification_count,05_06_notification_count,06_07_notification_count,07_08_notification_count,08_09_notification_count,09_10_notification_count,10_11_notification_count,11_12_notification_count,12_13_notification_count,13_14_notification_count,14_15_notification_count,15_16_notification_count,16_17_notification_count,17_18_notification_count,18_19_notification_count,19_20_notification_count,20_21_notification_count,21_22_notification_count,22_23_notification_count,23_24_notification_count
27-10-2025,FA090,145,0,0,0,0,0,0,0,0,0,18,18,36,25,13,3,6,12,14,0,0,0,0,0,0
27-10-2025,FAC08,557,0,0,0,0,0,0,0,0,0,91,4,2,10,91,111,12,166,70,0,0,0,0,0,0
27-10-2025,FCD08,617,0,0,0,0,0,0,0,0,48,0,0,46,14,327,14,0,69,99,0,0,0,0,0,0
27-10-2025,FCF21,1548,0,0,0,0,0,0,0,0,49,224,244,303,113,82,248,35,247,3,0,0,0,0,0,0
27-10-2025,FCM53,21,0,0,0,0,0,0,0,0,0,0,1,0,5,8,1,4,1,1,0,0,0,0,0,0
27-10-2025,FCP28,640,0,0,0,0,0,0,0,0,0,157,46,185,70,176,0,0,0,6,0,0,0,0,0,0
27-10-2025,FD444,834,0,0,0,0,0,0,0,0,1,21,14,23,32,27,408,64,8,8,2,0,226,0,0,0
27-10-2025,FD976,922,0,0,0,0,0,0,0,0,21,23,86,96,1,211,125,44,242,73,0,0,0,0,0,0
27-10-2025,FDW46,189,0,0,0,0,0,0,0,0,0,7,30,32,8,14,3,0,12,83,0,0,0,0,0,0
27-10-2025,FE302,62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,60,0,0,0,0,0,0,0,0,0
27-10-2025,FEH17,850,0,0,0,0,0,0,0,0,42,57,30,47,74,69,93,87,141,103,107,0,0,0,0,0
27-10-2025,FEW47,627,0,0,0,0,0,0,0,0,0,3,77,115,87,45,107,59,95,39,0,0,0,0,0,0
27-10-2025,FEW57,263,0,0,0,0,0,0,0,0,0,0,39,2,0,0,12,5,177,28,0,0,0,0,0,0
27-10-2025,FEX32,1724,0,0,0,0,0,0,0,0,0,54,26,311,409,47,30,654,94,99,0,0,0,0,0,0
27-10-2025,FEX56,587,0,0,0,0,0,0,0,0,0,0,8,83,2,163,155,157,0,19,0,0,0,0,0,0
27-10-2025,FF403,257,0,0,0,0,0,0,0,0,0,18,68,17,84,0,10,25,6,29,0,0,0,0,0,0
27-10-2025,FF736,329,0,0,0,0,0,0,0,0,0,1,40,11,61,0,52,81,37,46,0,0,0,0,0,0
27-10-2025,FFD93,258,0,0,0,0,0,0,0,0,8,42,38,87,44,0,6,20,5,8,0,0,0,0,0,0
27-10-2025,FFR23,497,0,0,0,0,0,0,0,0,0,0,2,54,39,101,121,36,14,127,0,1,2,0,0,0
27-10-2025,FFR55,966,0,0,0,0,0,0,0,0,121,51,582,1,22,88,1,28,11,7,54,0,0,0,0,0
27-10-2025,FFV85,25,0,0,0,0,0,0,0,0,0,2,6,0,1,0,10,2,2,2,0,0,0,0,0,0
27-10-2025,FFX28,119,0,0,0,0,0,0,0,0,0,0,10,0,27,0,3,56,19,4,0,0,0,0,0,0
27-10-2025,FG043,414,0,0,0,0,0,0,0,0,6,5,56,56,141,2,86,20,0,42,0,0,0,0,0,0
27-10-2025,FG236,59,0,0,0,0,0,0,0,0,0,0,10,0,0,40,0,0,0,9,0,0,0,0,0,0
27-10-2025,FGR00,846,0,0,0,0,0,0,0,0,0,133,130,279,31,106,0,11,66,90,0,0,0,0,0,0
27-10-2025,FGX57,531,0,0,0,0,0,0,0,0,12,13,48,73,99,58,54,29,24,103,18,0,0,0,0,0
27-10-2025,FH657,265,0,0,0,0,0,0,0,0,0,0,53,64,22,0,21,73,26,6,0,0,0,0,0,0
27-10-2025,FHD08,273,0,0,0,0,0,0,0,0,0,19,39,30,1,5,3,131,31,14,0,0,0,0,0,0
27-10-2025,FHF37,379,0,0,0,0,0,0,0,0,0,3,0,37,62,0,2,160,114,1,0,0,0,0,0,0
27-10-2025,FHV89,242,0,0,0,0,0,0,0,0,0,0,21,71,4,17,4,58,57,8,1,1,0,0,0,0
27-10-2025,FJ438,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,5,0,0,0,0,0,0
27-10-2025,FJG01,505,0,0,0,0,0,0,0,0,0,44,8,75,77,47,71,39,93,51,0,0,0,0,0,0
27-10-2025,FJR35,652,0,0,0,0,0,0,0,0,0,98,36,11,127,46,163,0,70,73,28,0,0,0,0,0
27-10-2025,FK857,482,0,0,0,0,0,0,0,0,0,0,0,242,0,0,1,132,68,39,0,0,0,0,0,0
27-10-2025,FKJ13,618,0,0,0,0,0,0,0,0,0,42,44,275,68,38,20,0,121,10,0,0,0,0,0,0
27-10-2025,FKP67,141,0,0,0,0,0,0,0,0,0,0,0,0,5,32,69,4,0,31,0,0,0,0,0,0
27-10-2025,FKR57,475,0,0,0,0,0,0,0,0,0,30,2,14,90,45,28,45,46,168,7,0,0,0,0,0
27-10-2025,FKT41,477,0,0,0,0,0,0,0,0,36,102,0,2,13,148,1,87,88,0,0,0,0,0,0,0
27-10-2025,FL080,93,0,0,0,0,0,0,0,0,0,44,1,10,8,0,2,20,6,2,0,0,0,0,0,0
27-10-2025,FL584,270,0,0,0,0,0,0,0,0,0,111,0,0,0,24,0,2,21,112,0,0,0,0,0,0
27-10-2025,FL669,172,0,0,0,0,0,0,0,0,0,2,3,61,3,28,47,7,21,0,0,0,0,0,0,0
27-10-2025,FLG00,110,0,0,0,0,0,0,0,0,0,0,1,1,3,1,30,0,1,72,1,0,0,0,0,0
27-10-2025,FLH14,462,0,0,0,0,0,0,0,0,0,3,9,87,0,85,190,67,9,0,12,0,0,0,0,0
27-10-2025,FLK02,1013,0,0,0,0,0,0,0,0,569,12,37,45,21,28,18,116,125,42,0,0,0,0,0,0
27-10-2025,FM623,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
27-10-2025,FMA26,315,0,0,0,0,0,0,0,0,42,31,17,52,33,49,25,11,33,22,0,0,0,0,0,0
27-10-2025,FMC81,1076,0,0,0,0,0,0,0,0,0,254,408,184,42,74,12,0,10,57,30,5,0,0,0,0
27-10-2025,FMG07,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,21,8,0,1,47,1,0,0,0
27-10-2025,FMP08,671,0,0,0,0,0,0,0,0,0,15,346,141,28,50,60,0,1,0,30,0,0,0,0,0
27-10-2025,FMQ08,18,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,8,4,0,0,0,0,0,0
27-10-2025,FMR16,643,0,0,0,0,0,0,0,0,0,12,21,0,4,51,0,63,0,269,223,0,0,0,0,0
27-10-2025,FNG76,948,0,0,0,0,0,0,0,0,130,0,171,341,52,38,64,67,55,30,0,0,0,0,0,0
27-10-2025,FNK11,600,0,0,0,0,0,0,0,0,0,6,0,48,283,177,11,7,64,4,0,0,0,0,0,0
27-10-2025,FNQ36,728,0,0,0,0,0,0,0,0,0,0,89,211,264,48,46,34,23,13,0,0,0,0,0,0
27-10-2025,FNQ40,955,0,0,0,0,0,0,0,0,0,14,70,304,59,306,1,28,52,57,64,0,0,0,0,0
27-10-2025,FP237,576,0,0,0,0,0,0,0,0,0,37,4,318,2,34,152,19,7,3,0,0,0,0,0,0
27-10-2025,FPG70,603,0,0,0,0,0,0,0,0,5,52,101,121,35,51,112,36,15,75,0,0,0,0,0,0
27-10-2025,FQ056,874,0,0,0,0,0,0,0,0,0,25,405,190,14,22,1,33,150,34,0,0,0,0,0,0
27-10-2025,FQD41,24,0,0,0,0,0,0,0,0,0,0,5,6,0,0,3,2,2,6,0,0,0,0,0,0
27-10-2025,FQF92,592,0,0,0,0,0,0,0,0,4,57,52,98,151,9,76,98,47,0,0,0,0,0,0,0
27-10-2025,FQL64,955,0,0,0,0,0,0,0,0,104,3,175,243,49,1,76,56,42,206,0,0,0,0,0,0
27-10-2025,FQR12,262,0,0,0,0,0,0,0,0,0,36,44,36,41,31,27,16,14,17,0,0,0,0,0,0
27-10-2025,FR035,223,0,0,0,0,0,0,0,0,0,11,46,47,29,11,18,23,15,23,0,0,0,0,0,0
27-10-2025,FR116,321,0,0,0,0,0,0,0,0,0,1,48,42,22,61,32,66,49,0,0,0,0,0,0,0
