date,pharmacyODSCode,notification_in_progress_count,notifications_requested_count,received_count,delivered_count,read_count,notified_count,attempted_notifications_disabled_count,true_attempted_notifications_disabled_count,attempted_patient_not_registered_count,ready_to_collect_psu_count
27-10-2025,FA090,0,32671,33,10,11,16,29,5,23,163
27-10-2025,FAC08,0,81413,91,33,43,52,66,19,28,0
27-10-2025,FCD08,0,54174,55,25,34,32,41,12,51,0
27-10-2025,FCF21,0,130208,118,59,66,85,104,22,152,0
27-10-2025,FCM53,0,1954,4,5,5,4,4,1,5,0
27-10-2025,FCP28,0,40972,84,34,47,61,64,14,20,0
27-10-2025,FD444,0,86484,105,48,58,63,87,33,79,0
27-10-2025,FD976,0,169155,233,83,98,145,154,57,71,0
27-10-2025,FDW46,0,45128,66,39,39,46,61,8,24,0
27-10-2025,FE302,0,10450,13,5,8,6,12,5,7,0
27-10-2025,FEH17,0,74562,129,45,50,79,93,34,78,0
27-10-2025,FEW47,0,80229,96,43,54,62,62,23,41,0
27-10-2025,FEW57,0,40318,58,17,20,35,45,14,30,0
27-10-2025,FEX32,0,111360,155,48,59,95,108,38,71,0
27-10-2025,FEX56,0,75434,94,27,41,55,67,22,43,0
27-10-2025,FF403,0,37077,60,16,23,22,37,20,24,0
27-10-2025,FF736,0,40597,59,27,26,36,44,14,26,0
27-10-2025,FFD93,0,31216,43,17,19,27,37,11,34,0
27-10-2025,FFR23,0,81148,126,60,65,98,112,46,28,0
27-10-2025,FFR55,0,59222,107,40,50,59,72,33,55,0
27-10-2025,FFV85,0,3841,2,0,0,1,2,1,4,0
27-10-2025,FFX28,0,29565,37,21,25,26,24,14,16,0
27-10-2025,FG043,0,47153,48,21,28,35,39,7,40,0
27-10-2025,FG236,0,5586,13,6,7,5,7,7,4,0
27-10-2025,FGR00,0,70579,72,34,46,51,61,30,55,0
27-10-2025,FGX57,0,85082,131,42,58,85,92,17,42,0
27-10-2025,FH657,0,66718,72,19,23,40,48,21,37,0
27-10-2025,FHD08,0,39966,48,18,21,24,34,13,36,0
27-10-2025,FHF37,0,43961,76,38,46,53,54,18,36,0
27-10-2025,FHV89,0,35678,29,11,16,11,20,31,37,0
27-10-2025,FJ438,0,15811,29,9,10,21,25,5,10,0
27-10-2025,FJG01,0,62589,79,35,48,56,61,14,31,0
27-10-2025,FJR35,0,73694,98,36,37,50,72,21,45,0
27-10-2025,FK857,0,55648,69,23,33,38,50,16,22,0
27-10-2025,FKJ13,0,59568,68,26,33,44,49,14,42,0
27-10-2025,FKP67,0,18871,34,16,15,19,19,9,10,0
27-10-2025,FKR57,0,75217,99,38,60,61,82,16,48,0
27-10-2025,FKT41,0,71886,78,43,49,51,61,20,50,0
27-10-2025,FL080,0,22873,35,11,28,19,23,9,10,0
27-10-2025,FL584,0,33389,54,20,28,27,38,9,23,0
27-10-2025,FL669,0,30737,41,19,23,32,33,8,28,0
27-10-2025,FLG00,0,26900,26,5,8,15,16,6,22,0
27-10-2025,FLH14,0,68940,64,28,36,42,50,10,52,0
27-10-2025,FLK02,0,47988,96,38,44,58,74,29,85,0
27-10-2025,FM623,0,102,1,1,1,1,1,,5,0
27-10-2025,FMA26,0,54216,73,27,34,45,54,16,40,0
27-10-2025,FMC81,0,93357,133,41,57,69,90,33,72,0
27-10-2025,FMG07,0,28800,54,13,17,27,34,19,18,0
27-10-2025,FMP08,0,46902,76,22,33,43,47,28,35,0
27-10-2025,FMQ08,0,2268,6,4,4,5,4,,,0
27-10-2025,FMR16,0,47111,105,28,38,51,64,53,34,0
27-10-2025,FNG76,0,69903,98,37,42,60,76,33,64,0
27-10-2025,FNK11,0,37198,40,24,29,37,33,8,36,0
27-10-2025,FNQ36,0,92154,127,51,58,69,99,30,56,0
27-10-2025,FNQ40,0,68897,86,39,50,64,77,18,60,0
